intersection_start,intersection_end,intersection_duration
2022-01-01 00:00:07.622151,2022-01-01 05:44:06.977145,0 days 05:43:59.354994
2022-01-01 17:15:08.271774,2022-01-03 05:44:07.214096,1 days 12:28:58.942322
2022-01-03 05:53:08.221205,2022-01-03 10:04:07.528342,0 days 04:10:59.307137
2022-01-03 10:20:07.861251,2022-01-03 13:23:07.901700,0 days 03:03:00.040449
2022-01-03 20:15:07.992045,2022-01-04 05:44:06.642419,0 days 09:28:58.650374
2022-01-04 20:15:07.012234,2022-01-05 05:55:07.747958,0 days 09:40:00.735724
2022-01-05 06:04:07.679842,2022-01-05 08:10:07.908799,0 days 02:06:00.228957
2022-01-05 08:28:07.864040,2022-01-05 10:00:06.811601,0 days 01:31:58.947561
2022-01-05 20:15:07.732632,2022-01-06 05:44:07.407488,0 days 09:28:59.674856
2022-01-06 05:57:08.279576,2022-01-06 07:25:08.152512,0 days 01:27:59.872936
2022-01-06 20:15:08.437549,2022-01-07 05:44:07.262504,0 days 09:28:58.824955
2022-01-07 20:11:08.464717,2022-01-08 05:44:07.174096,0 days 09:32:58.709379
2022-01-08 17:10:07.933964,2022-01-10 05:44:06.732573,1 days 12:33:58.798609
2022-01-10 20:15:07.279443,2022-01-11 05:44:06.451919,0 days 09:28:59.172476
2022-01-11 05:53:07.903390,2022-01-11 08:11:07.257786,0 days 02:17:59.354396
2022-01-11 20:15:07.867709,2022-01-12 05:44:06.472916,0 days 09:28:58.605207
2022-01-12 20:15:08.121919,2022-01-13 05:44:06.418469,0 days 09:28:58.296550
2022-01-13 05:53:07.380938,2022-01-13 08:11:08.329225,0 days 02:18:00.948287
2022-01-13 20:15:07.432172,2022-01-14 05:44:06.384647,0 days 09:28:58.952475
2022-01-14 20:15:07.675907,2022-01-15 05:44:06.621324,0 days 09:28:58.945417
2022-01-15 17:10:07.653207,2022-01-17 05:44:07.177214,1 days 12:33:59.524007
2022-01-17 20:15:08.028356,2022-01-18 05:44:07.301068,0 days 09:28:59.272712
2022-01-18 20:15:07.533739,2022-01-19 05:44:06.257738,0 days 09:28:58.723999
2022-01-19 20:15:07.858828,2022-01-20 05:44:07.091191,0 days 09:28:59.232363
2022-01-20 20:12:07.539062,2022-01-21 05:44:06.298694,0 days 09:31:58.759632
2022-01-21 20:16:06.795058,2022-01-22 05:44:06.239050,0 days 09:27:59.443992
2022-01-22 17:15:06.822338,2022-01-24 05:44:06.458066,1 days 12:28:59.635728
2022-01-24 20:12:07.553181,2022-01-25 05:44:07.141493,0 days 09:31:59.588312
2022-01-25 16:35:07.486115,2022-01-26 05:44:07.091752,0 days 13:08:59.605637
2022-01-26 20:15:08.181810,2022-01-27 05:44:07.080881,0 days 09:28:58.899071
2022-01-27 20:14:08.023941,2022-01-28 05:44:06.747685,0 days 09:29:58.723744
2022-01-28 20:16:06.656891,2022-01-29 05:44:06.259936,0 days 09:27:59.603045
2022-01-29 17:15:08.090298,2022-01-31 05:44:07.190148,1 days 12:28:59.099850
2022-01-31 20:15:08.066549,2022-02-01 05:44:07.075014,0 days 09:28:59.008465
2022-02-01 20:15:08.159211,2022-02-02 05:44:06.618457,0 days 09:28:58.459246
2022-02-02 20:14:07.930635,2022-02-03 05:44:06.692029,0 days 09:29:58.761394
2022-02-03 20:15:07.778494,2022-02-04 05:44:07.136623,0 days 09:28:59.358129
2022-02-04 20:15:08.031691,2022-02-05 05:44:06.399507,0 days 09:28:58.367816
2022-02-05 17:15:08.563129,2022-02-07 05:44:06.518826,1 days 12:28:57.955697
2022-02-07 20:15:07.916069,2022-02-08 05:44:07.065782,0 days 09:28:59.149713
2022-02-08 20:13:07.947039,2022-02-09 05:45:06.562252,0 days 09:31:58.615213
2022-02-09 20:15:07.595398,2022-02-10 05:44:06.421391,0 days 09:28:58.825993
2022-02-10 20:15:07.366627,2022-02-11 05:44:06.750347,0 days 09:28:59.383720
2022-02-11 20:11:08.038844,2022-02-12 05:44:06.881702,0 days 09:32:58.842858
2022-02-12 17:15:08.608498,2022-02-14 05:44:07.036642,1 days 12:28:58.428144
2022-02-14 20:16:07.725000,2022-02-15 05:45:06.614012,0 days 09:28:58.889012
2022-02-15 05:58:08.219774,2022-02-15 07:54:07.901024,0 days 01:55:59.681250
2022-02-15 08:05:08.240299,2022-02-15 09:39:07.960882,0 days 01:33:59.720583
2022-02-15 20:13:08.002830,2022-02-16 05:45:06.590952,0 days 09:31:58.588122
2022-02-16 20:14:07.362269,2022-02-17 05:44:06.851336,0 days 09:29:59.489067
2022-02-17 20:13:07.659767,2022-02-18 05:44:06.676953,0 days 09:30:59.017186
2022-02-18 20:15:08.193078,2022-02-19 05:44:06.820517,0 days 09:28:58.627439
2022-02-19 17:11:08.317936,2022-02-21 05:45:06.978743,1 days 12:33:58.660807
2022-02-21 20:12:07.828900,2022-02-22 05:45:06.650588,0 days 09:32:58.821688
2022-02-22 20:13:07.871965,2022-02-23 05:45:07.008833,0 days 09:31:59.136868
2022-02-23 20:12:07.290117,2022-02-24 05:45:06.772508,0 days 09:32:59.482391
2022-02-24 20:14:07.977572,2022-02-25 05:44:06.274013,0 days 09:29:58.296441
2022-02-25 20:12:08.516945,2022-02-26 05:44:06.477126,0 days 09:31:57.960181
2022-02-26 17:15:07.618387,2022-02-28 05:45:06.227502,1 days 12:29:58.609115
2022-02-28 20:11:07.885083,2022-03-01 05:45:06.934609,0 days 09:33:59.049526
2022-03-01 20:14:07.248719,2022-03-02 05:45:06.662459,0 days 09:30:59.413740
2022-03-02 05:54:08.121975,2022-03-02 20:15:07.357237,0 days 14:20:59.235262
2022-03-02 20:16:06.828699,2022-03-03 05:45:06.952972,0 days 09:29:00.124273
2022-03-03 05:54:08.034793,2022-03-03 18:13:07.672828,0 days 12:18:59.638035
2022-03-03 20:16:08.154263,2022-03-04 05:45:06.334239,0 days 09:28:58.179976
2022-03-04 10:27:07.616526,2022-03-05 05:44:06.951267,0 days 19:16:59.334741
2022-03-05 17:16:08.365069,2022-03-07 05:45:06.593912,1 days 12:28:58.228843
2022-03-07 05:54:08.093133,2022-03-07 19:40:07.804886,0 days 13:45:59.711753
2022-03-07 20:16:07.847208,2022-03-08 05:45:07.036984,0 days 09:28:59.189776
2022-03-08 20:16:06.691016,2022-03-09 05:45:06.776435,0 days 09:29:00.085419
2022-03-09 05:54:07.970416,2022-03-09 17:33:08.540284,0 days 11:39:00.569868
